Wed Apr 21 19:40:25 2021				
				
				
Number of Points = 2987				
				
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
-13.237265	-4.693222	2.710413	0.003055	0.995213
-13.433919	-4.546293	2.72041	0.003098	0.995318
-13.310468	-4.57481	2.730406	0.003071	0.99534
-13.024624	-4.605239	2.740403	0.003009	0.99544
-13.06638	-4.589081	2.7504	0.003017	0.995442
-13.143384	-4.561101	2.760397	0.003034	0.995443
-12.816601	-4.681389	2.770394	0.002963	0.99544
-13.089601	-4.583615	2.78039	0.003022	0.995439
-13.011765	-4.61228	2.790387	0.003005	0.995439
-13.003227	-4.614036	2.800384	0.003003	0.995441
-13.083512	-4.586413	2.810381	0.00302	0.99544
-12.865407	-4.490694	2.820378	0.002972	0.995679
-12.42563	-4.656049	2.830374	0.002876	0.99567
-12.550509	-4.575464	2.840371	0.002903	0.995719
-12.332434	-4.615693	2.850368	0.002855	0.995772
-12.549205	-4.613304	2.860365	0.002903	0.995669
-12.434533	-4.574359	2.870362	0.002877	0.995779
-12.157945	-4.670451	2.880358	0.002817	0.995784
-12.291866	-4.632988	2.890355	0.002846	0.99577
-12.28843	-4.629552	2.900352	0.002845	0.995777
-12.272237	-4.634174	2.910349	0.002841	0.995779
-12.331154	-4.614747	2.920346	0.002854	0.995777
-12.245859	-4.590839	2.930342	0.002835	0.995852
-11.917334	-4.652109	2.940339	0.002763	0.99593
-11.989575	-4.553788	2.950336	0.002779	0.99603
-11.844625	-4.60852	2.960333	0.002747	0.996027
-11.888834	-4.592106	2.97033	0.002756	0.996028
-11.88866	-4.596488	2.980326	0.002756	0.996022
-12.018484	-4.533522	2.990323	0.002784	0.996045
-11.578769	-4.55381	3.00032	0.002688	0.996235
-11.468905	-4.516618	3.010317	0.002664	0.99634
-11.337493	-4.564945	3.020314	0.002635	0.996339
-11.41255	-4.543246	3.03031	0.002651	0.996332
-11.274971	-4.595385	3.040307	0.002621	0.996329
-11.386614	-4.555805	3.050304	0.002645	0.996329
-11.310828	-4.587206	3.060301	0.002629	0.996324
-11.410377	-4.541498	3.070298	0.00265	0.996337
-11.283038	-4.587962	3.080294	0.002622	0.996337
-11.095206	-4.463932	3.090291	0.002581	0.9966
-10.934451	-4.494732	3.100288	0.002546	0.996638
-10.98308	-4.480145	3.110285	0.002556	0.996634
-11.043587	-4.461686	3.120282	0.002569	0.99663
-11.034527	-4.458616	3.130278	0.002567	0.996639
-10.76274	-4.55753	3.140275	0.002507	0.996638
-10.738108	-4.436625	3.150272	0.002502	0.996816
-10.684367	-4.346504	3.160269	0.00249	0.996967
-10.454036	-4.43165	3.170266	0.00244	0.996964
-10.479771	-4.417605	3.180262	0.002445	0.996971
-10.52709	-4.409188	3.190259	0.002455	0.996959
-10.459005	-4.431896	3.200256	0.00244	0.996962
-10.646456	-4.364604	3.210253	0.002481	0.996962
-10.175928	-4.405005	3.22025	0.002378	0.997139
-10.237544	-4.292462	3.230246	0.002391	0.997264
-10.267343	-4.275586	3.240243	0.002398	0.997273
-10.092434	-4.342458	3.25024	0.002359	0.997268
-10.089876	-4.346448	3.260237	0.002358	0.997264
-10.158609	-4.315061	3.270234	0.002373	0.997273
-9.931514	-4.32455	3.28023	0.002323	0.997373
-9.800276	-4.219073	3.290227	0.002295	0.997582
-9.738047	-4.23762	3.300224	0.002281	0.997588
-9.696238	-4.260741	3.310221	0.002272	0.997577
-9.811094	-4.211743	3.320218	0.002296	0.997588
-9.694602	-4.260518	3.330214	0.002271	0.997579
-9.682618	-4.23985	3.340211	0.002268	0.997614
-9.346953	-4.203327	3.350208	0.002195	0.99783
-9.363488	-4.1574	3.360205	0.002198	0.997885
-9.315732	-4.170971	3.370202	0.002187	0.99789
-9.391497	-4.147944	3.380198	0.002204	0.997885
-9.431916	-4.13312	3.390195	0.002212	0.997885
-9.419899	-4.04413	3.400192	0.00221	0.998014
-9.01582	-4.04098	3.410189	0.002121	0.998217
-8.982202	-4.053744	3.420186	0.002114	0.998217
-8.87397	-4.091794	3.430182	0.00209	0.998218
-9.00615	-4.047745	3.440179	0.002119	0.998214
-8.978301	-4.056096	3.450176	0.002112	0.998217
-9.001453	-3.991343	3.460173	0.002117	0.998294
-8.756122	-3.909731	3.47017	0.002063	0.998527
-8.647889	-3.956683	3.480166	0.00204	0.998517
-8.755337	-3.914623	3.490163	0.002063	0.998522
-8.776565	-3.906185	3.50016	0.002067	0.998523
-8.602186	-3.852619	3.510157	0.002029	0.998683
-8.361633	-3.816658	3.520154	0.001976	0.998851
-8.351637	-3.832233	3.53015	0.001974	0.998835
-8.357809	-3.82447	3.540147	0.001975	0.998843
-8.354691	-3.824728	3.550144	0.001974	0.998844
-8.347015	-3.826795	3.560141	0.001972	0.998846
-8.132818	-3.685641	3.570138	0.001925	0.999145
-8.002119	-3.730109	3.580134	0.001897	0.999149
-7.975258	-3.741415	3.590131	0.001891	0.999147
-7.99331	-3.736517	3.600128	0.001894	0.999145
-8.07655	-3.703044	3.610125	0.001913	0.99915
-7.803786	-3.600239	3.620122	0.001853	0.999425
-7.770295	-3.5764	3.630118	0.001845	0.999475
-7.68483	-3.610203	3.640115	0.001826	0.999471
-7.77413	-3.576493	3.650112	0.001846	0.999474
-7.672201	-3.617471	3.660109	0.001823	0.999468
-7.520935	-3.563648	3.670106	0.00179	0.999616
-7.401056	-3.492639	3.680102	0.001764	0.999773
-7.589931	-3.422789	3.690099	0.001805	0.999776
-7.460526	-3.465589	3.700096	0.001776	0.999781
-7.460906	-3.425046	3.710093	0.001776	0.999837
-7.115992	-3.363751	3.72009	0.001701	1.000091
-7.053738	-3.384467	3.730086	0.001687	1.000093
-7.07975	-3.376766	3.740083	0.001692	1.000092
-7.136562	-3.354278	3.75008	0.001705	1.000095
-7.181176	-3.341204	3.760077	0.001714	1.000091
-6.863392	-3.242434	3.770074	0.001645	1.000383
-6.730968	-3.275051	3.78007	0.001616	1.000404
-6.885559	-3.216383	3.790067	0.001649	1.000408
-6.801539	-3.249896	3.800064	0.001631	1.000404
-6.751964	-3.270569	3.810061	0.00162	1.000401
-6.586489	-3.10571	3.820058	0.001583	1.000707
-6.65648	-3.052974	3.830054	0.001598	1.000746
-6.446517	-3.137824	3.840051	0.001552	1.000733
-6.3294	-3.174541	3.850048	0.001527	1.000741
-6.406859	-3.146117	3.860045	0.001543	1.000742
-6.24913	-3.055685	3.870042	0.001509	1.000943
-6.051748	-3.082808	3.880038	0.001465	1.001004
-6.194808	-3.033263	3.890035	0.001497	1.001001
-6.179614	-3.043351	3.900032	0.001493	1.000996
-6.131315	-3.059619	3.910029	0.001482	1.000997
-6.147655	-2.949605	3.920026	0.001486	1.00114
-5.790593	-2.953944	3.930022	0.001408	1.00131
-5.883059	-2.9219	3.940019	0.001428	1.001309
-6.030989	-2.868946	3.950016	0.00146	1.001309
-5.858286	-2.877794	3.960013	0.001422	1.001382
-5.532988	-2.822825	3.97001	0.001351	1.001617
-5.663219	-2.781443	3.980006	0.001379	1.00161
-5.603968	-2.800043	3.990003	0.001366	1.001614
-5.62914	-2.788869	4	0.001371	1.001617
-5.479602	-2.661746	4.009997	0.001338	1.001864
-5.275829	-2.672681	4.019994	0.001294	1.00195
-5.242787	-2.686097	4.02999	0.001286	1.001948
-5.24437	-2.691075	4.039987	0.001286	1.001941
